Date,Promotion,Event Name,Location 1,Location 2
Nov 3rd 2015,WWE,Main Event Taping,Colorado Springs,Colorado
Nov 2nd 2015,WWE,Monday Night Raw,Denver,Colorado
Nov 2nd 2015,WWE,Superstars Taping,Denver,Colorado
Nov 1st 2015,WWE,WWE Live,Casper,Wyoming
Oct 31st 2015,WWE,WWE Live,Billings,Montana
Oct 27th 2015,WWE,Smackdown Taping,Phoenix,Arizona
Oct 27th 2015,WWE,Main Event Taping,Phoenix,Arizona
Oct 26th 2015,WWE,Monday Night Raw,San Diego,California
Oct 26th 2015,WWE,Superstars Taping,San Diego,California
Oct 25th 2015,WWE,Hell In A Cell 2015,Los Angeles,California
Oct 20th 2015,WWE,Smackdown Taping,Austin,Texas
Oct 20th 2015,WWE,Main Event Taping,Austin,Texas
Oct 19th 2015,WWE,Monday Night Raw,Dallas,Texas
Oct 19th 2015,WWE,Superstars Taping,Dallas,Texas
Oct 18th 2015,WWE,WWE Live,Monterrey,Nuevo León
Oct 18th 2015,WWE,WWE Live,Abilene,Texas
Oct 17th 2015,WWE,WWE Live,Mexico City,Federal District
Oct 17th 2015,WWE,WWE Live,Lubbock,Texas
Oct 16th 2015,WWE,WWE Live,Merida,Yucatán
Oct 13th 2015,WWE,Smackdown Taping,Cincinnati,Ohio
Oct 13th 2015,WWE,Main Event Taping,Cincinnati,Ohio
Oct 12th 2015,WWE,Monday Night Raw,Chicago,Illinois
Oct 12th 2015,WWE,Superstars Taping,Chicago,Illinois
Oct 11th 2015,WWE,WWE Live,Bloomington,Illinois
Oct 10th 2015,WWE,WWE Live,Jeddah,Makkah
Oct 10th 2015,WWE,WWE Live,St. Louis,Missouri
Oct 9th 2015,WWE,WWE Live,Jeddah,Makkah
Oct 8th 2015,WWE,WWE Live,Jeddah,Makkah
Oct 6th 2015,WWE,Smackdown Taping,Philadelphia,Pennsylvania
Oct 6th 2015,WWE,Main Event Taping,Philadelphia,Pennsylvania
Oct 5th 2015,WWE,Monday Night Raw,Boston,Massachusetts
Oct 5th 2015,WWE,Superstars Taping,Boston,Massachusetts
Oct 4th 2015,WWE,WWE Live,Portland,Maine
Oct 4th 2015,WWE,WWE Live,Worcester,Massachusetts
Oct 3rd 2015,WWE,WWE Live,Bangor,Maine
Oct 3rd 2015,WWE,WWE Network Special - Live From MSG,New York,New York
Oct 2nd 2015,WWE,WWE Live,Trenton,New Jersey
